,Primary_Key,State,Year,Total_Revenue,Federal_Revenue,State_Revenue,Local_Revenue,Total_Expenditure,Instruction_Expenditure,Support_Services_Expenditure,Other_Expenditure,Capital_Outlay_Expenditure,Net,Grade_PK,Grade_K,Grade_4,Grade_8,Grade_12,Grades_All,Avg_Math_4_Score,Avg_Math_8_Score,Avg_Reading_4_Score,Avg_Reading_8_Score,us_region,,,
1599,1988_VIRGINIA,Virginia,1988,,,,,,,,,,0,1610,80731,73540,70402,68064,982393,,,,,South,,,
1606,1988_WASHINGTON,Washington,1988,,,,,,,,,,0,3078,65647,62240,55717,57921,790918,,,,,West,,,
1613,1988_WEST_VIRGINIA,West Virginia,1988,,,,,,,,,,0,654,23567,23792,25547,23488,335912,,,,,South,,,
1620,1988_WISCONSIN,Wisconsin,1988,,,,,,,,,,0,11502,62754,56814,52890,60725,774857,,,,,Midwest,,,
1627,1988_WYOMING,Wyoming,1988,,,,,,,,,,0,,8306,8007,7158,6753,97793,,,,,West,,,
1278,1989_ALABAMA,Alabama,1989,,,,,,,,,,0,,55478,59944,54912,43482,723743,,,,,South,,,
1285,1989_ALASKA,Alaska,1989,,,,,,,,,,0,1782,9652,9010,7572,6402,109280,,,,,West,,,
1292,1989_ARIZONA,Arizona,1989,,,,,,,,,,0,877,49164,50508,42172,35618,607615,,,,,West,,,
1299,1989_ARKANSAS,Arkansas,1989,,,,,,,,,,0,,33543,34651,33353,28505,434960,,,,,South,,,
1306,1989_CALIFORNIA,California,1989,,,,,,,,,,0,,410631,379538,330967,243023,4771978,,,,,West,,,
1313,1989_COLORADO,Colorado,1989,,,,,,,,,,0,3366,45412,45339,39697,34799,562755,,,,,West,,,
1320,1989_CONNECTICUT,Connecticut,1989,,,,,,,,,,0,4694,39264,35148,31127,29186,461560,,,,,Northeast,,,
1327,1989_DELAWARE,Delaware,1989,,,,,,,,,,0,294,7814,7864,6934,6314,97808,,,,,South,,,
1341,1989_FLORIDA,Florida,1989,,,,,,,,,,0,14396,158907,142174,127763,96639,1789925,,,,,South,,,
1348,1989_GEORGIA,Georgia,1989,,,,,,,,,,0,,95460,94825,82504,59445,1126535,,,,,South,,,
1355,1989_HAWAII,Hawaii,1989,,,,,,,,,,0,300,14147,13245,11177,9453,169493,,,,,West,,,
1362,1989_IDAHO,Idaho,1989,,,,,,,,,,0,361,16259,17707,16187,13149,214932,,,,,West,,,
1369,1989_ILLINOIS,Illinois,1989,,,,,,,,,,0,29321,135793,139530,122583,110514,1797355,,,,,Midwest,,,
1376,1989_INDIANA,Indiana,1989,,,,,,,,,,0,805,68409,74671,70229,65063,954165,,,,,Midwest,,,
1383,1989_IOWA,Iowa,1989,,,,,,,,,,0,3417,38136,37298,33143,33795,478486,,,,,Midwest,,,
1390,1989_KANSAS,Kansas,1989,,,,,,,,,,0,1398,35734,34184,30189,26918,430864,,,,,Midwest,,,
1397,1989_KENTUCKY,Kentucky,1989,,,,,,,,,,0,,46569,50256,46242,40186,630688,,,,,South,,,
1404,1989_LOUISIANA,Louisiana,1989,,,,,,,,,,0,6659,64337,61886,52490,39892,783025,,,,,South,,,
1411,1989_MAINE,Maine,1989,,,,,,,,,,0,1925,18798,15906,14917,14552,213775,,,,,Northeast,,,
1418,1989_MARYLAND,Maryland,1989,,,,,,,,,,0,12238,54709,55009,46629,43302,698806,,,,,South,,,
1425,1989_MASSACHUSETTS,Massachusetts,1989,,,,,,,,,,0,6819,70464,62561,57364,55945,825588,,,,,Northeast,,,
1432,1989_MICHIGAN,Michigan,1989,,,,,,,,,,0,10661,140356,116261,106260,97713,1576785,,,,,Midwest,,,
1439,1989_MINNESOTA,Minnesota,1989,,,,,,,,,,0,7347,61916,58846,51830,53724,739553,,,,,Midwest,,,
1446,1989_MISSISSIPPI,Mississippi,1989,,,,,,,,,,0,379,36990,41200,36019,27851,502020,,,,,South,,,
1453,1989_MISSOURI,Missouri,1989,,,,,,,,,,0,,64627,64933,58052,52420,807934,,,,,Midwest,,,
1460,1989_MONTANA,Montana,1989,,,,,,,,,,0,293,12183,12136,10936,9985,151265,,,,,West,,,
1467,1989_NEBRASKA,Nebraska,1989,,,,,,,,,,0,1917,22834,21927,19116,19099,270920,,,,,Midwest,,,
1474,1989_NEVADA,Nevada,1989,,,,,,,,,,0,,15408,15603,13198,11297,186834,,,,,West,,,
1481,1989_NEW_HAMPSHIRE,New Hampshire,1989,,,,,,,,,,0,738,7338,13826,12058,11131,171696,,,,,Northeast,,,
1488,1989_NEW_JERSEY,New Jersey,1989,,,,,,,,,,0,6531,80391,79060,72607,70438,1076005,,,,,Northeast,,,
1495,1989_NEW_MEXICO,New Mexico,1989,,,,,,,,,,0,,23239,22829,19768,15751,296057,,,,,West,,,
1502,1989_NEW_YORK,New York,1989,,,,,,,,,,0,28172,187957,186493,171331,148836,2565841,,,,,Northeast,,,
1509,1989_NORTH_CAROLINA,North Carolina,1989,,,,,,,,,,0,1929,86204,83168,79280,68194,1080744,,,,,South,,,
1516,1989_NORTH_DAKOTA,North Dakota,1989,,,,,,,,,,0,682,9510,9352,8504,8032,117816,,,,,Midwest,,,
1523,1989_OHIO,Ohio,1989,,,,,,,,,,0,,138289,140455,128296,125507,1764410,,,,,Midwest,,,
1530,1989_OKLAHOMA,Oklahoma,1989,,,,,,,,,,0,2940,46401,45931,40762,37728,578580,,,,,South,,,
1537,1989_OREGON,Oregon,1989,,,,,,,,,,0,1254,35715,37106,35253,30018,472394,,,,,West,,,
1544,1989_PENNSYLVANIA,Pennsylvania,1989,,,,,,,,,,0,2445,122594,122701,115963,115400,1655279,,,,,Northeast,,,
1551,1989_RHODE_ISLAND,Rhode Island,1989,,,,,,,,,,0,336,10449,10418,9388,8346,135729,,,,,Northeast,,,
1558,1989_SOUTH_CAROLINA,South Carolina,1989,,,,,,,,,,0,,41490,50891,45691,36621,616177,,,,,South,,,
1565,1989_SOUTH_DAKOTA,South Dakota,1989,,,,,,,,,,0,214,10667,10527,9275,8248,127329,,,,,Midwest,,,
1572,1989_TENNESSEE,Tennessee,1989,,,,,,,,,,0,,61767,63539,58576,50851,819660,,,,,South,,,
1579,1989_TEXAS,Texas,1989,,,,,,,,,,0,82711,250752,268064,238057,192963,3328514,,,,,South,,,
1586,1989_UTAH,Utah,1989,,,,,,,,,,0,2792,33991,37301,32563,24971,438554,,,,,West,,,
1593,1989_VERMONT,Vermont,1989,,,,,,,,,,0,480,8282,7429,6746,5719,94779,,,,,Northeast,,,
1600,1989_VIRGINIA,Virginia,1989,,,,,,,,,,0,1569,82232,75946,70040,63501,985346,,,,,South,,,
1607,1989_WASHINGTON,Washington,1989,,,,,,,,,,0,3081,65566,66144,56617,53840,810232,,,,,West,,,
1614,1989_WEST_VIRGINIA,West Virginia,1989,,,,,,,,,,0,407,22455,24871,25292,22831,327540,,,,,South,,,
